date,Burner,Flow Floor,Flow Radiator,Hotwater,Mixer Floor,Mixer Radiator
2016.12.01 22:14:54,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:55,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:57,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:58,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:14:59,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:00,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:01,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:02,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:03,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:04,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:05,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:06,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:07,60.0,0.0,0.0,59.8,0.0,0.0
2016.12.01 22:15:08,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:09,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:10,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:11,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:12,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:14,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:15,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:16,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:17,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:18,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:19,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:20,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:21,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:22,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:23,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:24,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:25,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:26,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:27,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:28,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:29,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:30,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:32,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:33,60.0,0.0,0.0,59.9,0.0,0.0
2016.12.01 22:15:34,60.0,0.0,0.0,59.9,0.0,0.0
